employee_id,age,dfh,edu,job_level,income,stock_option,salary_increase,training,years_company,years_promotion,years_manager,num_companiesworked,years_working,performance,job_involvement,satisfaction_environment,satisfaction_job,wlb,attrition_d,business_travel,department,edu_field,gender,job_role,marital,cluster
29,44,1,2,2,103330,1,14,2,1,0,0,3.0,19.0,3,2,4.0,3.0,1.0,1,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced,3
31,26,4,3,3,68540,0,11,5,3,0,2,2.0,5.0,3,2,1.0,2.0,3.0,1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced,3
36,26,8,3,2,157870,2,12,5,8,7,4,1.0,8.0,3,3,4.0,4.0,3.0,1,Travel_Rarely,Research & Development,Medical,Male,Manager,Single,3
39,18,1,4,1,23350,2,14,3,0,0,0,1.0,0.0,3,2,3.0,3.0,3.0,1,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single,3
60,52,7,1,2,47740,1,18,2,8,7,7,2.0,11.0,3,3,3.0,2.0,2.0,1,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,3
66,28,9,4,1,56730,1,14,4,3,2,2,5.0,5.0,3,2,1.0,4.0,2.0,1,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Married,3
70,39,1,1,1,42840,1,17,0,1,0,0,4.0,12.0,3,3,4.0,3.0,2.0,1,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,3
79,29,29,3,1,23070,1,13,0,7,0,7,1.0,7.0,3,3,2.0,1.0,2.0,1,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,3
100,21,9,3,4,178750,0,12,5,3,1,2,1.0,3.0,3,2,1.0,2.0,3.0,1,Travel_Frequently,Research & Development,Medical,Female,Manufacturing Director,Single,3
109,41,16,1,1,28100,0,11,3,8,7,7,1.0,8.0,3,4,1.0,2.0,3.0,1,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single,3
113,21,10,2,1,53730,1,12,2,1,0,0,1.0,1.0,3,3,3.0,2.0,3.0,1,Travel_Rarely,Human Resources,Human Resources,Male,Laboratory Technician,Single,3
128,30,3,2,3,11290,0,19,2,1,0,0,9.0,3.0,3,2,3.0,4.0,3.0,1,Travel_Frequently,Sales,Marketing,Male,Research Scientist,Single,3
148,25,5,2,3,26600,0,13,3,2,0,2,5.0,6.0,3,3,1.0,1.0,3.0,1,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,3
157,24,27,2,1,104220,1,17,0,5,1,4,1.0,6.0,3,2,1.0,2.0,3.0,1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,3
164,29,19,4,3,17900,1,16,4,2,1,1,5.0,6.0,3,2,3.0,2.0,4.0,1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,3
165,19,4,3,1,76440,2,15,2,1,0,0,1.0,1.0,3,3,1.0,4.0,4.0,1,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Single,3
182,31,22,2,2,56890,2,15,2,1,0,0,3.0,12.0,3,2,1.0,3.0,3.0,1,Travel_Frequently,Research & Development,Medical,Female,Sales Executive,Married,3
186,22,7,3,2,37850,2,13,2,2,1,2,5.0,4.0,3,3,3.0,3.0,3.0,1,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,3
200,18,2,3,1,34680,2,18,4,0,0,0,1.0,0.0,3,4,2.0,2.0,3.0,1,Travel_Frequently,Research & Development,Technical Degree,Male,Sales Executive,Single,3
223,30,9,3,2,68250,0,14,2,1,0,0,1.0,1.0,3,3,2.0,1.0,4.0,1,Travel_Frequently,Research & Development,Other,Male,Healthcare Representative,Married,3
225,31,9,1,1,189470,2,12,2,3,1,2,2.0,9.0,3,2,2.0,1.0,1.0,1,Travel_Rarely,Research & Development,Medical,Female,Sales Representative,Divorced,3
238,27,27,3,2,22930,0,18,0,4,0,2,0.0,5.0,3,3,3.0,1.0,3.0,1,Travel_Rarely,Sales,Life Sciences,Male,Research Scientist,Divorced,3
247,45,19,4,3,34410,1,13,5,1,0,0,2.0,5.0,3,3,1.0,1.0,3.0,1,Travel_Frequently,Research & Development,Life Sciences,Male,Research Director,Married,3
256,20,1,3,5,61620,3,12,2,1,1,1,1.0,1.0,3,2,4.0,3.0,3.0,1,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Representative,Single,3
257,33,15,4,1,24060,0,11,3,10,9,7,1.0,10.0,3,3,1.0,1.0,3.0,1,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,3
268,24,17,2,1,25010,0,12,3,2,2,0,9.0,4.0,3,1,1.0,3.0,3.0,1,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Single,3
271,50,4,2,4,44240,1,14,2,4,1,3,3.0,18.0,3,2,2.0,3.0,3.0,1,Travel_Frequently,Research & Development,Medical,Male,Sales Representative,Married,3
283,28,2,4,3,20750,3,18,0,7,3,7,7.0,10.0,3,2,1.0,2.0,3.0,1,Travel_Rarely,Sales,Life Sciences,Male,Research Scientist,Single,3
305,33,1,2,3,28710,3,17,2,10,7,8,1.0,10.0,3,3,4.0,4.0,2.0,1,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,3
311,55,7,3,4,74280,0,12,2,5,1,4,5.0,24.0,3,3,4.0,1.0,3.0,1,Travel_Rarely,Human Resources,Human Resources,Male,Laboratory Technician,Married,3
316,26,15,2,2,26130,1,19,2,4,1,2,6.0,6.0,3,3,4.0,1.0,2.0,1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,3
328,23,2,3,4,45590,1,18,2,0,0,0,1.0,1.0,3,2,3.0,1.0,3.0,1,Travel_Rarely,Sales,Medical,Female,Manufacturing Director,Married,3
332,29,2,4,4,106500,2,13,2,1,0,0,1.0,1.0,3,4,2.0,1.0,3.0,1,Travel_Rarely,Sales,Marketing,Female,Research Scientist,Married,3
334,33,23,5,1,86390,2,16,3,3,0,2,5.0,6.0,3,2,1.0,1.0,3.0,1,Travel_Rarely,Research & Development,Life Sciences,Male,Human Resources,Single,3
341,28,19,4,2,32040,1,16,4,2,2,1,6.0,5.0,3,2,3.0,3.0,2.0,1,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Single,3
351,55,16,3,4,43190,0,11,3,9,7,3,4.0,12.0,3,4,3.0,4.0,2.0,1,Travel_Rarely,Human Resources,Technical Degree,Male,Manufacturing Director,Single,3
