employee_id,age,dfh,edu,job_level,income,stock_option,salary_increase,training,years_company,years_promotion,years_manager,num_companiesworked,years_working,performance,job_involvement,satisfaction_environment,satisfaction_job,wlb,attrition_d,business_travel,department,edu_field,gender,job_role,marital,cluster
1,51,6,2,1,131160,0,11,6,1,0,0,1.0,1.0,3,3,3.0,4.0,2.0,0,Travel_Rarely,Sales,Life Sciences,Female,Healthcare Representative,Married,2
3,32,17,4,4,193280,3,15,2,5,0,3,1.0,5.0,3,3,2.0,2.0,1.0,0,Travel_Frequently,Research & Development,Other,Male,Sales Executive,Married,2
4,38,2,5,3,83210,3,11,5,8,7,5,3.0,13.0,3,2,4.0,4.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Male,Human Resources,Married,2
5,32,10,1,1,23420,2,12,2,6,0,4,4.0,9.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Single,2
10,25,7,4,4,134640,1,13,2,6,1,5,1.0,6.0,3,3,2.0,1.0,3.0,0,Non-Travel,Research & Development,Medical,Female,Laboratory Technician,Divorced,2
15,28,1,3,1,25920,0,14,2,5,0,4,1.0,5.0,3,3,4.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,2
16,37,1,3,2,53460,0,11,2,5,0,1,4.0,7.0,3,3,3.0,4.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,2
17,21,3,2,1,42130,3,12,3,3,1,0,1.0,3.0,3,2,4.0,3.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,2
18,37,1,3,2,41270,1,13,2,5,0,2,2.0,15.0,3,3,1.0,4.0,3.0,0,Non-Travel,Research & Development,Medical,Male,Sales Executive,Divorced,2
19,35,7,4,1,24380,0,16,5,7,6,2,7.0,10.0,3,2,2.0,2.0,2.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Divorced,2
21,26,1,4,2,104470,0,18,3,6,1,4,1.0,6.0,3,3,3.0,2.0,1.0,0,Travel_Frequently,Research & Development,Other,Male,Laboratory Technician,Divorced,2
23,53,11,4,2,21480,0,11,2,5,1,3,3.0,21.0,3,3,3.0,3.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,2
25,29,16,4,1,65130,1,11,2,10,0,9,1.0,10.0,3,3,2.0,4.0,2.0,0,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,2
26,55,1,4,1,67990,0,11,2,10,0,8,3.0,12.0,3,3,2.0,4.0,3.0,0,Travel_Rarely,Research & Development,Other,Female,Research Scientist,Married,2
30,38,2,3,1,44480,0,12,3,2,1,2,9.0,10.0,3,2,4.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Manager,Divorced,2
32,28,7,3,1,96370,0,13,6,5,0,2,1.0,5.0,3,2,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Other,Male,Human Resources,Single,2
33,49,1,1,2,35910,0,13,2,3,1,2,9.0,22.0,3,3,3.0,1.0,3.0,0,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single,2
35,31,9,4,1,46840,1,16,4,2,2,2,1.0,2.0,3,3,4.0,2.0,2.0,0,Travel_Frequently,Research & Development,Medical,Male,Sales Executive,Divorced,2
37,37,9,1,1,15140,0,14,3,4,1,2,1.0,4.0,3,3,2.0,4.0,2.0,0,Travel_Frequently,Sales,Marketing,Male,Laboratory Technician,Married,2
42,51,2,3,2,56750,0,13,2,4,1,2,5.0,13.0,3,2,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,2
44,18,7,3,1,38120,0,15,3,0,0,0,1.0,0.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Research Scientist,Single,2
46,31,8,1,1,29360,1,12,2,8,7,7,4.0,10.0,3,3,2.0,4.0,2.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Married,2
50,38,5,2,3,63840,2,19,4,10,0,1,3.0,19.0,3,2,1.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,2
51,58,2,3,2,39680,2,13,3,5,1,2,2.0,12.0,3,2,4.0,3.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,2
52,31,20,1,3,99070,1,13,3,5,0,3,0.0,6.0,3,2,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Married,2
55,31,16,4,2,28040,2,19,0,2,2,2,0.0,3.0,3,3,3.0,4.0,1.0,0,Travel_Rarely,Sales,Marketing,Female,Research Scientist,Divorced,2
58,43,7,4,4,24390,0,15,2,8,1,7,0.0,9.0,3,3,3.0,4.0,3.0,0,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Single,2
63,27,13,2,4,28560,2,12,5,5,0,4,1.0,5.0,3,4,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Research Director,Single,2
64,31,24,3,2,10810,3,11,4,7,1,7,4.0,13.0,3,4,4.0,4.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Healthcare Representative,Divorced,2
65,32,7,3,2,24720,0,13,2,7,0,7,7.0,10.0,3,3,1.0,4.0,2.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,Single,2
67,30,13,3,4,41970,0,13,3,10,1,9,1.0,11.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married,2
71,33,4,2,4,47880,1,11,0,7,0,1,3.0,9.0,3,3,2.0,4.0,2.0,0,Travel_Frequently,Sales,Life Sciences,Male,Research Scientist,Single,2
73,43,14,3,5,38860,2,17,2,9,0,0,1.0,9.0,3,3,3.0,3.0,4.0,0,Travel_Frequently,Research & Development,Medical,Female,Research Director,Divorced,2
74,27,2,3,1,168230,0,17,3,5,1,4,0.0,6.0,3,3,3.0,2.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Male,Research Director,Married,2
75,54,1,4,2,29330,2,12,2,4,0,3,3.0,20.0,3,3,4.0,3.0,2.0,0,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Single,2
78,40,2,4,4,50330,2,14,6,4,0,2,2.0,6.0,3,3,2.0,4.0,2.0,0,Travel_Rarely,Research & Development,Other,Male,Research Scientist,Married,2
81,30,10,3,2,55070,2,12,2,10,1,2,1.0,10.0,3,2,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,2
82,27,11,2,1,43930,1,18,2,8,0,7,1.0,8.0,3,2,2.0,2.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Manager,Married,2
83,37,1,4,2,133480,0,14,4,6,0,4,7.0,8.0,3,3,4.0,4.0,2.0,0,Travel_Rarely,Sales,Life Sciences,Male,Healthcare Representative,Divorced,2
86,29,3,4,3,39780,0,11,0,7,1,7,1.0,7.0,3,3,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Divorced,2
89,41,9,2,1,54870,2,19,0,5,1,2,6.0,8.0,3,3,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,2
90,47,1,3,2,68340,1,16,2,0,0,0,3.0,5.0,3,4,2.0,3.0,3.0,0,Travel_Frequently,Sales,Medical,Female,Laboratory Technician,Single,2
