employee_id,age,dfh,edu,job_level,income,stock_option,salary_increase,training,years_company,years_promotion,years_manager,num_companiesworked,years_working,performance,job_involvement,satisfaction_environment,satisfaction_job,wlb,attrition_d,business_travel,department,edu_field,gender,job_role,marital,cluster
6,46,8,3,4,40710,0,13,5,7,7,7,3.0,28.0,3,3,3.0,2.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married,1
11,45,17,2,2,79910,2,13,2,20,4,10,0.0,21.0,3,2,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,1
13,55,14,4,1,55380,0,17,2,36,4,13,0.0,37.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Single,1
14,47,1,1,1,57620,2,11,4,10,9,9,1.0,10.0,3,2,1.0,2.0,2.0,1,Non-Travel,Research & Development,Medical,Male,Research Scientist,Married,1
20,38,8,3,1,68700,1,11,5,8,7,7,1.0,8.0,3,3,1.0,1.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Divorced,1
28,37,5,1,1,27050,0,11,2,17,5,7,1.0,17.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Research Scientist,Single,1
34,36,5,3,3,54050,0,14,2,8,7,7,4.0,10.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Single,1
38,42,2,2,3,29560,0,13,2,20,4,8,5.0,23.0,3,3,3.0,2.0,4.0,0,Travel_Frequently,Sales,Marketing,Male,Research Director,Married,1
40,35,20,2,1,51540,0,19,2,11,6,9,0.0,12.0,3,2,3.0,2.0,2.0,0,Travel_Rarely,Sales,Life Sciences,Male,Laboratory Technician,Married,1
43,41,29,1,1,23790,0,12,6,22,0,4,1.0,22.0,3,3,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,1
54,45,3,1,1,35400,0,13,6,24,9,11,1.0,24.0,3,3,1.0,1.0,3.0,0,Travel_Frequently,Research & Development,Medical,Female,Sales Executive,Divorced,1
