employee_id,age,dfh,edu,job_level,income,stock_option,salary_increase,training,years_company,years_promotion,years_manager,num_companiesworked,years_working,performance,job_involvement,satisfaction_environment,satisfaction_job,wlb,attrition_d,business_travel,department,edu_field,gender,job_role,marital
1,51,6,2,1,131160,0,11,6,1,0,0,1.0,1.0,3,3,3.0,4.0,2.0,0,Travel_Rarely,Sales,Life Sciences,Female,Healthcare Representative,Married
2,31,10,1,1,41890,1,23,3,5,1,4,0.0,6.0,4,2,3.0,2.0,4.0,1,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single
3,32,17,4,4,193280,3,15,2,5,0,3,1.0,5.0,3,3,2.0,2.0,1.0,0,Travel_Frequently,Research & Development,Other,Male,Sales Executive,Married
4,38,2,5,3,83210,3,11,5,8,7,5,3.0,13.0,3,2,4.0,4.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Male,Human Resources,Married
5,32,10,1,1,23420,2,12,2,6,0,4,4.0,9.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Single
6,46,8,3,4,40710,0,13,5,7,7,7,3.0,28.0,3,3,3.0,2.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married
7,28,11,2,2,58130,1,20,2,0,0,0,2.0,5.0,4,3,1.0,3.0,1.0,1,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Single
8,29,18,3,2,31430,3,22,2,0,0,0,2.0,10.0,4,3,1.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Married
9,31,1,3,3,20440,0,21,2,9,7,8,0.0,10.0,4,3,2.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married
10,25,7,4,4,134640,1,13,2,6,1,5,1.0,6.0,3,3,2.0,1.0,3.0,0,Non-Travel,Research & Development,Medical,Female,Laboratory Technician,Divorced
11,45,17,2,2,79910,2,13,2,20,4,10,0.0,21.0,3,2,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married
13,55,14,4,1,55380,0,17,2,36,4,13,0.0,37.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Single
